id;game_session_id;right_imdb_id;left_imdb_id;user_choice;correct
1;Clothing;optimize Steel;transparent;RIGHT;true
2;Wells HTTP;policy exploit;Uganda;LEFT;true
3;protocol;Jewelery;PCI Towels;RIGHT;true
4;withdrawal Account;Avon Regional;generate Loan;RIGHT;false
5;Shoes Islands Gloves;Licensed index;Analyst;RIGHT;true
6;International Sudan reboot;Bedfordshire engage;National Oklahoma;RIGHT;true
7;Human;Agent Pants Tools;Incredible;RIGHT;true
8;Implementation New FTP;Kids;innovative data-warehouse Principal;RIGHT;true
9;Kids;North;synthesize;RIGHT;false
10;Mobility;Grocery;Cheese;RIGHT;true
