id;imdb_id;title;imdb_rating;imdb_votes;score
1;Account Infrastructure;calculating deposit extranet;27697;52280;5631
2;pink Soap Designer;Baby Factors Account;31498;83653;91827
3;Handcrafted program;Fish;15149;59851;98297
4;invoice Optional;Savings;76293;3127;87127
5;communities Bacon;backing Markets Dynamic;60726;91851;6848
6;GB help-desk payment;sticky grid-enabled Representative;96998;45571;2622
7;Dynamic card Cotton;SQL leading-edge ROI;45414;40152;57661
8;Ergonomic Shoes revolutionary;Architect Throughway;92505;11485;46511
9;compelling;Bedfordshire;29561;31106;96394
10;function backing;Fresh;80381;43916;67006
